date,delta_rel,omicron_rel,ba1_rel,ba2_rel,new_cases_smoothed,delta_abs,omicron_abs,ba1_abs,ba2_abs,delta_abs_fit,omicron_abs_fit,ba1_abs_fit,ba2_abs_fit,new_cases_smoothed_fit,omicron_rel_fit,ba1_rel_fit,ba2_rel_fit,delta_rel_fit
2021-12-23,0.8026208783632603,0.18878923088585378,0.18161023816026403,0.0003287310979618672,33743.143,27082.951073397096,6370.34201464138,6128.100236505846,11.092420447074293,26820.54336977103,24841.750952030485,24365.316910478938,1086.6678599470774,51662.29432180151,0.4808487752652374,0.47162669080681463,0.021034061189351846,0.5191512247347626
2021-12-24,0.7758621669891642,0.21732309018894388,0.21001260502416938,0.0017094017094017094,32079.143,24888.99340313528,6971.538487373028,6737.024388372848,54.83614188034188,24924.728934199626,25889.440172260976,25280.908921044735,1169.159518791115,50814.1691064606,0.5094925416967873,0.4975169202920309,0.0230085336304843,0.4905074583032128
2021-12-25,0.6940282023426997,0.30231362049197413,0.29634467573124007,0.0017094017094017094,26598.429,18460.05986400993,8041.067370388719,7882.302816965412,45.4674,23063.582234280293,26981.315195026353,26230.90675251129,1257.9133245428302,50044.89742930664,0.539142181940529,0.5241474775638223,0.02513569592823638,0.46085781805947107
2021-12-26,0.5957630759940541,0.40226739594946115,0.3912915737643998,0.006168710516536603,28128.857,16758.13437051688,11315.322056424771,11006.584723723754,173.51877599405427,21251.93270753192,28119.239535869157,27216.603295705725,1353.404652342485,49371.17224340107,0.5695477392604864,0.5512650816052577,0.027412852295063347,0.4304522607395137
2021-12-27,0.5575450874431761,0.43956467479134725,0.42978839282047326,0.00534701408898132,27701.429,15444.795654105934,12176.569629640595,11905.75264874045,148.11993114791574,19502.99507289518,29305.155303227784,28239.34002528915,1456.1449642390812,48808.15037612297,0.6004151986378881,0.5785783687288402,0.02983405339103835,0.39958480136211183
2021-12-28,0.5488959073896286,0.4467078307485092,0.4365445842528695,0.005598018105045579,22851.286,12542.977363989916,10207.848398873779,9975.605146513417,127.92191275157457,17828.033235962303,30541.086513055114,29300.508825424313,1566.6845486373193,48369.119749017416,0.6314170419377031,0.6057689074653779,0.032390181106596326,0.3685829580622969
2021-12-29,0.5267796214835957,0.467451381667271,0.4629406141368942,0.0015533029960864712,26514.571,13967.335675179924,12394.272848264956,12274.671782316285,41.185162574247464,16236.146524564774,31829.142543229565,30401.553884047513,1685.6154677027896,48065.289067794336,0.6622064105000122,0.6325053791139638,0.035069288053699015,0.33779358949998783
2021-12-30,0.4705930149867919,0.5243415873665672,0.5214069962240863,0.0008799599864801299,27607.429,12991.863249143793,14475.723144969801,14394.706628359729,24.29343284959115,14734.179905127874,33171.52173365438,31543.973658322986,1813.5747285120153,47905.70163878225,0.6924336894963719,0.6584596943422375,0.03785717913468214,0.30756631050362826
2021-12-31,0.36840893073726894,0.6260436241418992,0.6230386720326885,0.0019543370174669,30135.429,11102.161175198886,18866.09318623089,18775.53766529537,58.894784431945524,13326.748871664093,34570.51513818937,32729.32291395435,1951.247694932377,47897.26400985346,0.7217638805230606,0.6833234338233025,0.04073818693549938,0.2782361194769393
2022-01-01,0.3088589734736214,0.6880811435946015,0.6861126757308301,0.0015397433192911123,28096.857,8677.966410855133,19332.917495973983,19277.609735896505,43.261947858827725,12016.361416368058,36028.51043481863,33959.21484112879,2099.3717585063328,48044.87185118669,0.7498929447957043,0.7068228831229574,0.04369606323457139,0.2501070552042956
