date,delta_rel,omicron_rel,ba1_rel,ba2_rel,new_cases_smoothed,delta_abs,omicron_abs,ba1_abs,ba2_abs,delta_abs_fit,omicron_abs_fit,ba1_abs_fit,ba2_abs_fit,new_cases_smoothed_fit,omicron_rel_fit,ba1_rel_fit,ba2_rel_fit,delta_rel_fit
2021-12-12,0.9568691639175678,0.04263883116238273,0.04263883116238273,0.0,49296.143,47169.95913677086,2101.929918333675,2101.929918333675,0.0,46234.090692256344,2641.92633226736,2680.7028715015385,6.01208567978489,48876.0170245237,0.05405363393137712,0.054846999299400505,0.00012300686606210785,0.9459463660686229
2021-12-13,0.9514982003178222,0.04762267880305693,0.04762267880305693,0.0,51739.143,49229.70145048644,2463.9565886344312,2463.9565886344312,0.0,44841.60036992899,2907.784564230651,2946.351953758816,7.208047233816317,47749.384934159636,0.06089679622554549,0.06170450065108614,0.00015095581322681543,0.9391032037744546
2021-12-14,0.9382228791663403,0.05889654435046299,0.05889654435046299,0.0,45902.857,43067.1106565008,2703.5196531134607,2703.5196531134607,0.0,43335.695611702904,3200.3962293383056,3238.3260105794266,8.64191691406268,46536.09184104121,0.06877234642458319,0.06958740801958524,0.0001857035383113367,0.9312276535754167
2021-12-15,0.9139867411599862,0.081159127985394,0.0815538388596786,0.0,50105.714,45795.9582523543,4066.5360553255477,4086.3133255051416,0.0,41719.20103205704,3522.453537569017,3559.2337627610177,10.361020887764308,45241.65456962606,0.07785863649500323,0.07867160908722787,0.00022901507441154458,0.9221413635049968
2021-12-16,0.8954318320168418,0.09933624498604042,0.09947957325600122,0.0,42731.714,38263.336952239726,4244.808010577413,4250.932673217493,0.0,39997.78330035569,3876.919617199344,3911.9424469901555,12.422099738311571,43874.702917555034,0.08836343859659779,0.08916168513644611,0.00028312669744234945,0.9116365614034022
2021-12-17,0.867528899875254,0.1281258055299203,0.1282691337998811,0.0,37363.143,32413.606342671792,4787.182794004603,4792.537988651091,0.0,38180.135946996095,4267.055777433547,4299.603433940244,14.893181239581198,42447.19172442964,0.10052622103095991,0.10129300100354324,0.0003508637588151614,0.8994737789690401
2021-12-18,0.844855729211703,0.15277253056489415,0.15252114796057037,0.0,40627.571,34324.43612330524,6206.776832374908,6196.563767769579,0.0,36278.01099859109,4696.451514484107,4725.680385041018,17.855825674215815,40974.462513075196,0.11461899013282825,0.1153323337318464,0.00043577937522714093,0.8853810098671717
2021-12-19,0.8419891566107851,0.15689601618743101,0.15689601618743101,0.0,38105.143,32084.117217103358,5978.545132952373,5978.545132952373,0.0,34306.06788412659,5169.057537177593,5193.980199493856,21.40781780460966,39475.12542130418,0.1309446767302207,0.13157602779118052,0.0005423115842225078,0.8690553232697793
2021-12-20,0.8420484109039702,0.15542058428712044,0.15567368476801133,0.0002531004808909137,36150.714,30440.65127674391,5618.565092276584,5627.714855374534,9.149763097949887,32281.525679021306,5689.222115942044,5708.6870280373605,25.666394347540535,37970.74779496335,0.1498317111546772,0.15034434030278943,0.0006759517744063252,0.8501682888453229
2021-12-21,0.836930240517669,0.1565546909284019,0.15713979672137782,0.0005851057929759071,37967.286,31775.969803783126,5943.956725120241,5966.171604102414,22.214878982173055,30223.62543370761,6261.731089609269,6274.399657368305,30.77211347817113,36485.35652331688,0.17162313010721308,0.17197035345833867,0.0008434099707510174,0.8283768698927869
2021-12-22,0.8143537151602759,0.17561908346331725,0.1771620436624234,0.0005851057929759071,36168.857,29454.243071050754,6351.941516255787,6407.748623053949,21.16260775601719,28152.932175996128,6891.851898119618,6896.172599239199,36.893494079902986,35044.78407411575,0.19665842093773875,0.19678171178497136,0.0010527527863170001,0.8033415790622611
